game_name,reviews_like_rate,all_reviews_number_k,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads_k,day,month,year,total_revenue_million,main_tag,main_feature,reviews_like_rate_MinMax,all_reviews_number_MinMax,price_MinMax,difficulty_MinMax,age_restriction_MinMax,rating_MinMax,length_MinMax,estimated_downloads_MinMax,total_revenue_MinMax,developer_Cod,main_tag_Cod,main_feature_Cod,supported_os_Cod,generation
Detroit: Become Human,95,143.66,2020-06-18,Quantic Dream,"Story Rich, Visual Novel",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Swedish, Turkish, Dutch, Russian, Traditional Chinese, Simplified Chinese",31.99,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",17,4.01,2,18,5590.0,18,6,2020,178.82,Story Rich,Single-player,0.9375,0.01631692894156347,0.39992499062382797,0.25,1.0,0.8153153153153152,0.2151898734177215,0.018257542029522105,0.03626592033747059,1190,35,7,0,9
HELLDIVERS™ 2,77,731.0,2024-02-08,Arrowhead Game Studios,"Shooter, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Spanish - Latin America, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese",39.99,"Online Co-op, Steam Achievements, In-App Purchases, Family Sharing",17,3.94,4,77,55220.0,8,2,2024,2208.25,Shooter,Online Co-op,0.7125,0.08303175695783838,0.49993749218652334,0.75,1.0,0.7995495495495495,0.9620253164556962,0.18035707689237002,0.4478482193558855,110,30,3,0,9
Apex Legends™,67,993.93,2020-11-05,Respawn,"FPS, Action, Survival",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Arabic",0.0,"Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases",13,3.5,3,65,93560.0,5,11,2020,0.0,FPS,Online PvP,0.5875,0.11289747311937881,0.0,0.5,0.7647058823529411,0.7004504504504504,0.810126582278481,0.30558166215615373,0.0,1248,14,4,0,9
World of Warships,77,146.46,2017-11-15,Wargaming Group Limited,"Shooter, Action, Tactical, Simulation, Realistic",win,"English, French, German, Czech, Japanese, Polish, Russian, Thai, Turkish, Spanish - Spain, Korean, Portuguese - Brazil, Traditional Chinese, Italian, Simplified Chinese, Ukrainian, Dutch, Spanish - Latin America",0.0,"MMO, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud",13,3.68,4,64,18470.0,15,11,2017,0.0,Shooter,MMO,0.7125,0.016634975589919738,0.0,0.75,0.7647058823529411,0.740990990990991,0.7974683544303798,0.060325686479118734,0.0,1663,30,2,0,8
Tom Clancy's Rainbow Six® Siege,84,1188.33,2015-12-01,Ubisoft Montreal,"FPS, Tactical, War",win,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese, Turkish, Thai",15.99,"Single-player, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",17,3.95,4,70,54370.0,1,12,2015,869.38,FPS,Single-player,0.8,0.13497899756239962,0.19989998749843732,0.75,1.0,0.8018018018018017,0.8734177215189873,0.1775808406515193,0.17631621643546685,1606,14,7,0,8
eFootball™,47,91.98,2021-09-30,KONAMI,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Indonesian",0.0,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, In-App Purchases",0,3.75,3,51,6830.0,30,9,2021,0.0,Sports,Single-player,0.3375,0.010446696517616379,0.0,0.5,0.0,0.7567567567567567,0.6329113924050633,0.022307580780880788,0.0,795,33,7,0,9
Dying Light 2 Stay Human: Reloaded Edition,79,145.52,2022-02-04,Techland,"Open World, Horror, RPG, Survival",win,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Arabic, Czech, Japanese, Portuguese - Portugal, Simplified Chinese, Traditional Chinese, Turkish",46.0,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",17,3.45,3,46,6400.0,4,2,2022,294.4,Open World,Single-player,0.7375,0.016528202786542993,0.5750718839854982,0.5,1.0,0.6891891891891891,0.569620253164557,0.02090313185903866,0.05970633568589275,1522,21,7,0,9
Drive Beyond Horizons,80,5.6,2025-03-24,Drive Beyond Horizons,"Early Access, Adventure, Action, Simulation, Driving",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Arabic, Korean, Russian, Simplified Chinese, Portuguese - Portugal, Spanish - Latin America",12.49,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",10,3.23,3,25,603.2,24,3,2025,7.53,Early Access,Single-player,0.75,0.0006349574158255469,0.1561445180647581,0.5,0.5882352941176471,0.6396396396396395,0.3037974683544304,0.0019698539284934958,0.0015271355560963738,468,13,7,0,9
"Warhammer 40,000: Space Marine 2",83,118.19,2024-09-09,Saber Interactive,"Action, Adventure, RPG, Shooter",win,"English, French, Italian, German, Spanish - Spain, Russian, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Ukrainian, Thai",39.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.8,3,19,6230.0,9,9,2024,249.14,Action,Single-player,0.7875000000000001,0.013423840322408433,0.49993749218652334,0.5,1.0,0.768018018018018,0.22784810126582278,0.020347884610868523,0.05052729780157378,1306,2,7,0,9
Total War: WARHAMMER III,72,83.56,2022-02-17,CREATIVE ASSEMBLY,"Turn-Based, Strategy, War, Fantasy, Tactical","win, mac, linux","English, French, Italian, German, Spanish - Spain, Czech, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish",49.99,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.88,4,79,3700.0,17,2,2022,184.96,Turn-Based,Single-player,0.65,0.009490284810773604,0.6249531191398925,0.75,0.7647058823529411,0.7860360360360359,0.9873417721518988,0.012084499093983469,0.03751115437657176,259,39,7,4,9
Clair Obscur: Expedition 33,95,69.55,2025-04-24,Sandfall Interactive,"Turn-Based, Combat, Story Rich, Fantasy, JRPG, Souls-like, Adventure",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",34.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,4.41,4,51,3020.0,24,4,2025,105.67,Turn-Based,Single-player,0.9375,0.007898915688105284,0.4374296787098388,0.75,1.0,0.9054054054054054,0.6329113924050633,0.0098635101013029,0.02143059949703902,1319,39,7,0,9
Left 4 Dead 2,97,732.06,2009-11-17,Valve,"FPS, Action, Survival, Horror","win, linux","English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",5.79,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing, Steam Timeline",17,4.01,3,40,65370.0,17,11,2009,378.49,FPS,Single-player,0.9625000000000001,0.08315216033185896,0.07238404800600075,0.5,1.0,0.8153153153153152,0.4936708860759494,0.21350860376841083,0.07676036342986939,1630,14,7,1,7
Black Desert,75,58.93,2018-05-17,Pearl Abyss,"MMORPG, Open World",win,"English, French, German, Spanish - Spain, Japanese, Russian, Thai, Turkish, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America",4.99,"MMO, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases",13,3.31,3,68,3930.0,17,5,2018,19.61,MMORPG,MMO,0.6875,0.006692610186125442,0.06238279784973122,0.5,0.7647058823529411,0.6576576576576576,0.8481012658227849,0.012835715959154836,0.003977042264946865,1127,19,2,0,8
DayZ,77,355.73,2018-12-13,Bohemia Interactive,"Survival, Open World, FPS, Adventure, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Czech, Russian, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil",59.99,"MMO, Online PvP, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud",17,3.48,4,67,15000.0,13,12,2018,899.85,Survival,MMO,0.7125,0.04040555491188972,0.7499687460932617,0.75,1.0,0.6959459459459458,0.8354430379746836,0.04899211029588114,0.18249574105621807,221,37,2,0,8
Tainted Grail: The Fall of Avalon,87,8.01,2025-05-23,Questline,"Adventure, Open World, RPG, Fantasy",win,"English, Polish, French, German, Traditional Chinese, Simplified Chinese, Italian, Spanish - Spain, Czech, Japanese, Portuguese - Brazil, Russian",20.99,"Single-player, Steam Cloud, Family Sharing",17,3.4,3,29,335.2,23,5,2025,7.04,Adventure,Single-player,0.8375000000000001,0.0009087047095893336,0.2624078009751219,0.5,1.0,0.6779279279279279,0.35443037974683544,0.0010945229725546836,0.001427760201184392,1194,3,7,0,9
VRChat,75,239.8,2017-02-01,VRChat Inc.,"Anime, Simulation, Open World, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",0.0,"MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, In-App Purchases",0,3.41,1,54,27550.0,1,2,2017,0.0,Anime,MMO,0.6875,0.02723728778905329,0.0,0.0,0.0,0.6801801801801801,0.6708860759493671,0.08998242185197103,0.0,1627,4,2,0,8
Schedule I,98,184.39,2025-03-25,TVGS,"Early Access, Simulation, Action, Open World",win,English,10.49,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",13,3.0,3,43,6990.0,25,3,2025,73.33,Early Access,Single-player,0.9750000000000001,0.020943371794260167,0.13114139267408426,0.5,0.7647058823529411,0.5878378378378378,0.5316455696202532,0.02283016642621739,0.014871826072848218,1495,13,7,0,9
Forza Horizon 5,88,206.72,2021-11-09,Playground Games,"Open World, Driving, Simulation, Sports",win,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish",32.78,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",0,3.98,3,62,6970.0,9,11,2021,228.48,Open World,Single-player,0.8500000000000001,0.023479793814901395,0.40980122515314416,0.5,0.0,0.8085585585585585,0.7721518987341772,0.022764843220550314,0.04633730834752981,1153,21,7,0,9
Marvel Rivals,79,283.75,2024-12-06,NetEase Games,"Shooter, Action, Strategy",win,"English, French, Italian, German, Spanish - Spain, Russian, Turkish, Thai, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Korean, Japanese, Polish, Portuguese - Brazil, Arabic",0.0,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",13,3.38,3,27,26240.0,6,12,2024,0.0,Shooter,Online PvP,0.7375,0.032229484287359694,0.0,0.5,0.7647058823529411,0.6734234234234233,0.3291139240506329,0.08570375188077758,0.0,1021,30,4,0,9
Limbus Company,83,62.29,2023-02-27,ProjectMoon,"Story Rich, Turn-Based, RPG",win,"English, Japanese, Korean",0.0,"Single-player, In-App Purchases",17,4.07,4,45,2310.0,27,2,2023,0.0,Story Rich,Single-player,0.7875000000000001,0.007074266164152962,0.0,0.75,1.0,0.8288288288288288,0.5569620253164558,0.007544536300121721,0.0,1174,35,7,0,9
NBA 2K25,59,22.28,2024-10-28,Visual Concepts,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese",69.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, In-App Purchases, Steam Cloud, Remote Play Together, Family Sharing",0,3.5,3,65,1630.0,28,10,2024,114.08,Sports,Single-player,0.48750000000000004,0.0025296067353193074,0.8749843730466308,0.5,0.0,0.7004504504504504,0.810126582278481,0.005323547307441153,0.023136205078283442,1643,33,7,0,9
Tom Clancy’s The Division® 2,77,19.55,2023-01-12,Ubisoft,"Open World, Shooter, Action, RPG",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",23.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Captions available, In-App Purchases, HDR available",17,3.92,3,63,1390.0,12,1,2023,33.35,Open World,Single-player,0.7125,0.0022195112531719473,0.2999124890611326,0.5,1.0,0.7950450450450449,0.7848101265822786,0.004539668839436247,0.006763608339417539,1601,21,7,0,9
ELDEN RING,92,764.6,2022-02-25,"FromSoftware, Inc.","Souls-like, Open World, Fantasy, RPG",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Arabic",39.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.2,4,80,42760.0,25,2,2022,1709.97,Souls-like,Single-player,0.9000000000000001,0.08684831673811358,0.49993749218652334,0.75,1.0,0.858108108108108,1.0,0.13966071976178196,0.3467936237527379,587,32,7,0,9
Mount & Blade II: Bannerlord,87,204.8,2022-10-25,TaleWorlds Entertainment,"Strategy, Open World, RPG, War",win,"English, Simplified Chinese, Turkish, Traditional Chinese, French, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, German",19.99,"Single-player, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing",17,3.91,3,73,10820.0,25,10,2022,216.29,Strategy,Single-player,0.8375000000000001,0.023261704684599954,0.24990623827978495,0.5,1.0,0.7927927927927927,0.9113924050632912,0.035339560311462355,0.04386509288553581,1498,36,7,0,9
Warframe,87,618.99,2013-03-25,Digital Extremes,"RPG, Shooter, Action",win,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Portuguese - Brazil, Traditional Chinese, Turkish, Ukrainian, Thai",0.0,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, HDR available",17,3.79,3,79,52890.0,25,3,2013,0.0,RPG,Single-player,0.8375000000000001,0.07030875514270071,0.0,0.5,1.0,0.7657657657657657,0.9873417721518988,0.1727469234321557,0.0,429,25,7,0,8
Euro Truck Simulator 2,97,657.02,2012-10-18,SCS Software,"Driving, Simulation, Open World, Realistic","win, mac, linux","English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian, Traditional Chinese, Catalan, Lithuanian, Serbian, Slovak, Slovenian",10.09,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0,3.99,3,80,41660.0,18,10,2012,420.35,Driving,Single-player,0.9625000000000001,0.07462851015591102,0.1261407675959495,0.5,0.0,0.8108108108108107,1.0,0.1360679434500928,0.08524985803520728,1293,12,7,4,8
Sniper Elite 5,83,17.46,2022-05-26,Rebellion,"Stealth, Action, FPS",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",49.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Family Sharing",17,3.57,3,24,2290.0,26,5,2022,114.48,Stealth,Single-player,0.7875000000000001,0.001982112147791734,0.6249531191398925,0.5,1.0,0.7162162162162161,0.2911392405063291,0.007479213094454645,0.023217327816987102,1226,34,7,0,9
Blazing Sails,88,7.46,2023-11-13,Get Up Games,"Combat, Open World, Survival",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Polish",7.99,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards",10,2.5,3,4,404.5,13,11,2023,3.23,Combat,Online PvP,0.8500000000000001,0.0008462312608050669,0.09988748593574197,0.5,0.5882352941176471,0.47522522522522515,0.0379746835443038,0.0013208678801911004,0.0006550661150320435,634,9,4,0,9
