game_name,reviews_like_rate,all_reviews_number_k,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads_k,day,month,year,total_revenue_million,main_tag,main_feature,reviews_like_rate_MinMax,all_reviews_number_MinMax,price_MinMax,difficulty_MinMax,age_restriction_MinMax,rating_MinMax,length_MinMax,estimated_downloads_MinMax,total_revenue_MinMax,developer_Cod,main_tag_Cod,main_feature_Cod,supported_os_Cod,generation
R.E.P.O.,96,147.41,2025-02-26,semiwork,"Early Access, Horror",win,English,5.79,"Single-player, Online Co-op, Steam Cloud, Family Sharing",10,3.58,4,54,12950.0,26,2,2025,74.98,Early Access,Single-player,0.9500000000000002,0.0167428842741834,0.0723840480060007,0.75,0.5882352941176471,0.7184684684684685,0.6708860759493671,0.0422964817150058,0.0152064573700008,1766,13,7,0,9
Detroit: Become Human,95,143.66,2020-06-18,Quantic Dream,"Story Rich, Visual Novel",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Swedish, Turkish, Dutch, Russian, Traditional Chinese, Simplified Chinese",31.99,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",17,4.01,2,18,5590.0,18,6,2020,178.82,Story Rich,Single-player,0.9375,0.0163169289415634,0.3999249906238279,0.25,1.0,0.8153153153153152,0.2151898734177215,0.0182575420295221,0.0362659203374705,1190,35,7,0,9
HELLDIVERS™ 2,77,731.0,2024-02-08,Arrowhead Game Studios,"Shooter, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Spanish - Latin America, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese",39.99,"Online Co-op, Steam Achievements, In-App Purchases, Family Sharing",17,3.94,4,77,55220.0,8,2,2024,2208.25,Shooter,Online Co-op,0.7125,0.0830317569578383,0.4999374921865233,0.75,1.0,0.7995495495495495,0.9620253164556962,0.18035707689237,0.4478482193558855,110,30,3,0,9
Tom Clancy's Rainbow Six® Siege,84,1188.33,2015-12-01,Ubisoft Montreal,"FPS, Tactical, War",win,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese, Turkish, Thai",15.99,"Single-player, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",17,3.95,4,70,54370.0,1,12,2015,869.38,FPS,Single-player,0.8,0.1349789975623996,0.1998999874984373,0.75,1.0,0.8018018018018017,0.8734177215189873,0.1775808406515193,0.1763162164354668,1606,14,7,0,8
Dying Light 2 Stay Human: Reloaded Edition,79,145.52,2022-02-04,Techland,"Open World, Horror, RPG, Survival",win,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Arabic, Czech, Japanese, Portuguese - Portugal, Simplified Chinese, Traditional Chinese, Turkish",46.0,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",17,3.45,3,46,6400.0,4,2,2022,294.4,Open World,Single-player,0.7375,0.0165282027865429,0.5750718839854982,0.5,1.0,0.6891891891891891,0.569620253164557,0.0209031318590386,0.0597063356858927,1522,21,7,0,9
Drive Beyond Horizons,80,5.6,2025-03-24,Drive Beyond Horizons,"Early Access, Adventure, Action, Simulation, Driving",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Arabic, Korean, Russian, Simplified Chinese, Portuguese - Portugal, Spanish - Latin America",12.49,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",10,3.23,3,25,603.2,24,3,2025,7.53,Early Access,Single-player,0.75,0.0006349574158255,0.1561445180647581,0.5,0.5882352941176471,0.6396396396396395,0.3037974683544304,0.0019698539284934,0.0015271355560963,468,13,7,0,9
"Warhammer 40,000: Space Marine 2",83,118.19,2024-09-09,Saber Interactive,"Action, Adventure, RPG, Shooter",win,"English, French, Italian, German, Spanish - Spain, Russian, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Ukrainian, Thai",39.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.8,3,19,6230.0,9,9,2024,249.14,Action,Single-player,0.7875000000000001,0.0134238403224084,0.4999374921865233,0.5,1.0,0.768018018018018,0.2278481012658227,0.0203478846108685,0.0505272978015737,1306,2,7,0,9
Total War: WARHAMMER III,72,83.56,2022-02-17,CREATIVE ASSEMBLY,"Turn-Based, Strategy, War, Fantasy, Tactical","win, mac, linux","English, French, Italian, German, Spanish - Spain, Czech, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish",49.99,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.88,4,79,3700.0,17,2,2022,184.96,Turn-Based,Single-player,0.65,0.0094902848107736,0.6249531191398925,0.75,0.7647058823529411,0.7860360360360359,0.9873417721518988,0.0120844990939834,0.0375111543765717,259,39,7,4,9
Clair Obscur: Expedition 33,95,69.55,2025-04-24,Sandfall Interactive,"Turn-Based, Combat, Story Rich, Fantasy, JRPG, Souls-like, Adventure",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",34.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,4.41,4,51,3020.0,24,4,2025,105.67,Turn-Based,Single-player,0.9375,0.0078989156881052,0.4374296787098388,0.75,1.0,0.9054054054054054,0.6329113924050633,0.0098635101013029,0.021430599497039,1319,39,7,0,9
Left 4 Dead 2,97,732.06,2009-11-17,Valve,"FPS, Action, Survival, Horror","win, linux","English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",5.79,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing, Steam Timeline",17,4.01,3,40,65370.0,17,11,2009,378.49,FPS,Single-player,0.9625,0.0831521603318589,0.0723840480060007,0.5,1.0,0.8153153153153152,0.4936708860759494,0.2135086037684108,0.0767603634298693,1630,14,7,1,7
Black Desert,75,58.93,2018-05-17,Pearl Abyss,"MMORPG, Open World",win,"English, French, German, Spanish - Spain, Japanese, Russian, Thai, Turkish, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America",4.99,"MMO, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases",13,3.31,3,68,3930.0,17,5,2018,19.61,MMORPG,MMO,0.6875,0.0066926101861254,0.0623827978497312,0.5,0.7647058823529411,0.6576576576576576,0.8481012658227849,0.0128357159591548,0.0039770422649468,1127,19,2,0,8
DayZ,77,355.73,2018-12-13,Bohemia Interactive,"Survival, Open World, FPS, Adventure, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Czech, Russian, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil",59.99,"MMO, Online PvP, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud",17,3.48,4,67,15000.0,13,12,2018,899.85,Survival,MMO,0.7125,0.0404055549118897,0.7499687460932617,0.75,1.0,0.6959459459459458,0.8354430379746836,0.0489921102958811,0.182495741056218,221,37,2,0,8
Tainted Grail: The Fall of Avalon,87,8.01,2025-05-23,Questline,"Adventure, Open World, RPG, Fantasy",win,"English, Polish, French, German, Traditional Chinese, Simplified Chinese, Italian, Spanish - Spain, Czech, Japanese, Portuguese - Brazil, Russian",20.99,"Single-player, Steam Cloud, Family Sharing",17,3.4,3,29,335.2,23,5,2025,7.04,Adventure,Single-player,0.8375000000000001,0.0009087047095893,0.2624078009751219,0.5,1.0,0.6779279279279279,0.3544303797468354,0.0010945229725546,0.0014277602011843,1194,3,7,0,9
Schedule I,98,184.39,2025-03-25,TVGS,"Early Access, Simulation, Action, Open World",win,English,10.49,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",13,3.0,3,43,6990.0,25,3,2025,73.33,Early Access,Single-player,0.975,0.0209433717942601,0.1311413926740842,0.5,0.7647058823529411,0.5878378378378378,0.5316455696202532,0.0228301664262173,0.0148718260728482,1495,13,7,0,9
Forza Horizon 5,88,206.72,2021-11-09,Playground Games,"Open World, Driving, Simulation, Sports",win,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish",32.78,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",0,3.98,3,62,6970.0,9,11,2021,228.48,Open World,Single-player,0.8500000000000001,0.0234797938149013,0.4098012251531441,0.5,0.0,0.8085585585585585,0.7721518987341772,0.0227648432205503,0.0463373083475298,1153,21,7,0,9
NBA 2K25,59,22.28,2024-10-28,Visual Concepts,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese",69.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, In-App Purchases, Steam Cloud, Remote Play Together, Family Sharing",0,3.5,3,65,1630.0,28,10,2024,114.08,Sports,Single-player,0.4875,0.0025296067353193,0.8749843730466308,0.5,0.0,0.7004504504504504,0.810126582278481,0.0053235473074411,0.0231362050782834,1643,33,7,0,9
Tom Clancy’s The Division® 2,77,19.55,2023-01-12,Ubisoft,"Open World, Shooter, Action, RPG",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",23.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Captions available, In-App Purchases, HDR available",17,3.92,3,63,1390.0,12,1,2023,33.35,Open World,Single-player,0.7125,0.0022195112531719,0.2999124890611326,0.5,1.0,0.7950450450450449,0.7848101265822786,0.0045396688394362,0.0067636083394175,1601,21,7,0,9
ELDEN RING,92,764.6,2022-02-25,"FromSoftware, Inc.","Souls-like, Open World, Fantasy, RPG",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Arabic",39.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.2,4,80,42760.0,25,2,2022,1709.97,Souls-like,Single-player,0.9000000000000001,0.0868483167381135,0.4999374921865233,0.75,1.0,0.858108108108108,1.0,0.1396607197617819,0.3467936237527379,587,32,7,0,9
Mount & Blade II: Bannerlord,87,204.8,2022-10-25,TaleWorlds Entertainment,"Strategy, Open World, RPG, War",win,"English, Simplified Chinese, Turkish, Traditional Chinese, French, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, German",19.99,"Single-player, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing",17,3.91,3,73,10820.0,25,10,2022,216.29,Strategy,Single-player,0.8375000000000001,0.0232617046845999,0.2499062382797849,0.5,1.0,0.7927927927927927,0.9113924050632912,0.0353395603114623,0.0438650928855358,1498,36,7,0,9
Euro Truck Simulator 2,97,657.02,2012-10-18,SCS Software,"Driving, Simulation, Open World, Realistic","win, mac, linux","English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian, Traditional Chinese, Catalan, Lithuanian, Serbian, Slovak, Slovenian",10.09,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0,3.99,3,80,41660.0,18,10,2012,420.35,Driving,Single-player,0.9625,0.074628510155911,0.1261407675959495,0.5,0.0,0.8108108108108107,1.0,0.1360679434500928,0.0852498580352072,1293,12,7,4,8
Sniper Elite 5,83,17.46,2022-05-26,Rebellion,"Stealth, Action, FPS",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",49.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Family Sharing",17,3.57,3,24,2290.0,26,5,2022,114.48,Stealth,Single-player,0.7875000000000001,0.0019821121477917,0.6249531191398925,0.5,1.0,0.7162162162162161,0.2911392405063291,0.0074792130944546,0.0232173278169871,1226,34,7,0,9
Blazing Sails,88,7.46,2023-11-13,Get Up Games,"Combat, Open World, Survival",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Polish",7.99,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards",10,2.5,3,4,404.5,13,11,2023,3.23,Combat,Online PvP,0.8500000000000001,0.000846231260805,0.0998874859357419,0.5,0.5882352941176471,0.4752252252252251,0.0379746835443038,0.0013208678801911,0.000655066115032,634,9,4,0,9
The Elder Scrolls® Online,82,127.55,2014-04-04,ZeniMax Online Studios,"MMORPG, Open World, Fantasy, Action","win, mac","English, French, German, Russian, Spanish - Spain, Simplified Chinese",11.99,"MMO, Online PvP, Online Co-op, Steam Trading Cards, Captions available, In-App Purchases, HDR available, Family Sharing",17,3.42,3,73,9270.0,4,4,2014,111.15,MMORPG,MMO,0.7750000000000001,0.0144870248326279,0.1498937367170896,0.5,1.0,0.6824324324324323,0.9113924050632912,0.030277011872264,0.0225419810172791,1719,19,2,3,8
9 Kings,93,2.68,2025-05-23,Sad Socket,"Strategy, RPG, Roguelike, Fantasy","win, mac","English, German, Simplified Chinese, Traditional Chinese, Korean, Japanese, Portuguese - Brazil, Portuguese - Portugal, Spanish - Spain, Spanish - Latin America, French, Italian, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Norwegian, Polish, Romanian, Russian, Swedish, Turkish, Ukrainian, Filipino, Malay, Slovak",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.57,4,20,179.6,23,5,2025,1.44,Strategy,Single-player,0.9125,0.0003032801968254,0.0998874859357419,0.75,0.7647058823529411,0.7162162162162161,0.240506329113924,0.0005863084324648,0.0002920418593331,1310,36,7,3,9
DOOM: The Dark Ages,86,13.35,2025-05-15,id Software,"Action, FPS, Fantasy",win,"English, French, Italian, German, Spanish - Spain, Arabic, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Japanese, Turkish",49.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",17,3.88,3,21,649.5,15,5,2025,32.47,Action,Single-player,0.825,0.0015152651032402,0.6249531191398925,0.5,1.0,0.7860360360360359,0.2531645569620253,0.0021210771496127,0.0065851383142694,1743,2,7,0,9
The Planet Crafter,96,50.22,2024-04-10,Miju Games,"Open World, Crafting, Building, Survival, Automation",win,"English, French, German, Spanish - Spain, Simplified Chinese, Russian, Polish, Portuguese - Portugal, Korean, Japanese, Portuguese - Brazil, Italian, Traditional Chinese, Turkish",12.49,"Single-player, Online Co-op, Steam Achievements, Family Sharing",0,3.92,3,41,1730.0,10,4,2024,21.61,Open World,Single-player,0.9500000000000002,0.00570325793356,0.1561445180647581,0.5,0.0,0.7950450450450449,0.5063291139240507,0.0056501633357765,0.0043826559584651,949,21,7,0,9
The Last of Us™ Part II Remastered,90,14.7,2025-04-03,Naughty Dog LLC,"Story Rich, Shooter, Action, Stealth, Horror",win,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Croatian",49.99,"Single-player, Steam Achievements, Steam Cloud, HDR available, Family Sharing",17,3.98,3,40,710.6,3,4,2025,35.52,Story Rich,Single-player,0.875,0.0016686090229834,0.6249531191398925,0.5,1.0,0.8085585585585585,0.4936708860759494,0.0023206395429256,0.0072036991968848,1016,35,7,0,9
Insurgency: Sandstorm,85,98.44,2018-12-12,New World Interactive,"FPS, Realistic, War, Tactical",win,"English, French, Italian, German, Simplified Chinese, Russian, Spanish - Latin America, Spanish - Spain, Traditional Chinese, Korean, Danish, Finnish, Hungarian, Japanese, Norwegian, Dutch, Polish, Portuguese - Portugal, Portuguese - Brazil, Swedish, Czech, Thai, Turkish",20.99,"Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",17,3.78,4,59,6040.0,12,12,2018,126.78,FPS,Online PvP,0.8125,0.0111804755706097,0.2624078009751219,0.75,1.0,0.7635135135135134,0.7341772151898734,0.0197273141570313,0.0257118520321246,1025,14,4,0,8
Diablo® IV,71,36.16,2023-10-17,"Blizzard Entertainment, Inc.","Action, RPG, Fantasy",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Turkish",49.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",17,3.7,4,71,1540.0,17,10,2023,76.98,Action,Single-player,0.6375000000000001,0.0041062094064568,0.6249531191398925,0.75,1.0,0.7454954954954954,0.8860759493670887,0.0050295928819393,0.0156120710635191,207,2,7,0,9
Dead Island 2,77,9.36,2024-04-22,Dambuster Studios,"FPS, Adventure, Horror, Crafting, Survival",win,"English, French, Italian, German, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",37.49,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.34,3,26,761.6,22,4,2024,28.55,FPS,Single-player,0.7125,0.0010620486293325,0.468683585448181,0.5,1.0,0.6644144144144143,0.3164556962025316,0.0024872137173767,0.0057901354749736,389,14,7,0,9
Assassin's Creed® Origins,85,104.6,2017-10-27,Ubisoft Montreal,"Open World, Action, RPG, Stealth",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",47.99,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, In-App Purchases, Remote Play on Tablet, HDR available",17,4.01,3,64,5960.0,27,10,2017,286.02,Open World,Single-player,0.8125,0.0118801781969935,0.5999499937492186,0.5,1.0,0.8153153153153152,0.7974683544303798,0.019466021334363,0.0580068143100511,1606,21,7,0,8
The Elder Scrolls IV: Oblivion Remastered,81,44.2,2025-04-22,Bethesda Game Studios,"RPG, Open World, Fantasy, Adventure, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Simplified Chinese",34.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.19,3,64,2280.0,22,4,2025,79.78,RPG,Single-player,0.7625,0.005019457639594,0.4374296787098388,0.5,1.0,0.8558558558558559,0.7974683544303798,0.0074465514916211,0.0161799302344447,180,25,7,0,9
